house_price,rental_agency,city,bedrooms,surface
2495,VERRA Real Estate Rotterdam,Amsterdam,3,97
1050,DC Wonen,Groningen,3,90
825,ViaDaan,Roermond,4,115
950,ViaDaan,Kerkrade,6,155
535,Kracht Makelaars,Ulestraten,2,39
905,Wolters Housing,Den Haag,4,55
650,Brick Brokers,Hilversum,1,23
900,Brick Brokers,Hilversum,2,48
675,My Housing,Eindhoven,1,20
2450,Compass Housing Amsterdam,Amsterdam,3,110
600,BVwonen,Tilburg,2,35
1470,Heimstaden,Amsterdam,3,55
1995,B&S Rental Service,Utrecht,3,100
391,Maxx Zwolle,Zwolle,1,19
2850,Interhouse verhuurmakelaars Hilversum & Almere,Naarden,5,174
850,Interhouse verhuurmakelaars Rotterdam,Rotterdam,3,62
950,Interhouse verhuurmakelaars Rotterdam,Rotterdam,3,85
1600,123Wonen Amsterdam,Amsterdam,3,56
1350,Rotsvast Haarlem,Haarlem,2,54
1675,Rotsvast Eindhoven,Waalre,3,235
555,W&D Vastgoed,Tilburg,1,25
1050,My Housing,Eindhoven,2,70
1500,Expats. Amsterdam Rentals ,Amsterdam,3,65
1000,Rotterdam Rent,Rotterdam,2,26
600,LV Housing,Amsterdam,1,8
555,realestate.nl ,Rotterdam,1,30
1450,Expats. Amsterdam Rentals ,Amsterdam,2,40
1250,Nienaber Makelaars Weesp,Weesp,4,96
950,Friendly Housing,Eindhoven,2,50
1035,BenHousing,Rotterdam,2,55
935,P&D Housing,Tilburg,2,55
955,P&D Housing,Tilburg,1,55
1750,Expats. Amsterdam Rentals ,Amsterdam,2,50
1575,Interhouse verhuurmakelaars Amsterdam,Amsterdam,2,55
825,P&D Housing,Tilburg,3,60
1250,P&D Housing,Tilburg,3,128
2550,Agency 2030,Amsterdam,5,85
885,My Housing,Waalwijk,1,45
995,K&P Makelaars,Groningen,3,72
510,RNC Wonen,Tilburg,1,13
2000,Mac Housing,Amsterdam,3,64
2000,Mac Housing,Amsterdam,3,59
3000,AmsterHomes,Almere,5,171
1850,ViaDaan,Amsterdam,3,80
587,4-Freedom | Vastgoedbeheer,Ede,1,35
654,4-Freedom | Vastgoedbeheer,Ede,1,27
1550,4-Freedom | Vastgoedbeheer,Amsterdam,3,55
1550,4-Freedom | Vastgoedbeheer,Amsterdam,3,56
970,Wonen Limburg Accent,Venlo,3,82
1395,HouseHunting Utrecht,Utrecht,4,80
1085,Pas verhuurt,Rosmalen,3,74
1300,Agency 2030,Amsterdam,2,52
2250,Out Amsterdam,Amsterdam,4,90
995,Rental Rotterdam,Brielle,2,45
1950,De la Haye Makelaardij o.g.,Amsterdam,3,125
1000,123Wonen Den Bosch,Oss,3,72
990,BVwonen,Tilburg,2,28
825,HousingXL.nl,Heerlen,3,80
2500,The Perfect House,Amsterdam,5,140
875,Dorenbos Rasch Makelaars,Hilversum,3,60
925,123Wonen Groningen,Ezinge,2,125
1250,Makelaardij Van Wieren,Groningen,3,65
1168,Q Makelaars,Den Haag,1,59
1325,Compass Housing Amsterdam,Amsterdam,3,68
675,De Noordelijke Verhuur Makelaars,Haren Gn,2,51
1175,070Wonen,Den Haag,3,64
1195,Rotsvast Eindhoven,Eindhoven,1,70
1100,RandstadWonen Haarlem,Haarlem,2,45
486,Tweelwonen.nl Noordwijk,Lisse,1,27
1195,Tweelwonen.nl Leiden,Leiden,3,63
1200,Reedijk Real Estate,Delft,3,80
1450,De Graaf & Groot Makelaars,Amsterdam,2,56
