"","house_price","rental_agency","city","bedrooms","surface"
"249",1500,"Expats. Amsterdam Rentals ","Amsterdam",3,65
"250",1000,"Rotterdam Rent","Rotterdam",2,26
"251",600,"LV Housing","Amsterdam",1,8
"252",555,"realestate.nl ","Rotterdam",1,30
"253",1450,"Expats. Amsterdam Rentals ","Amsterdam",2,40
"254",1250,"Nienaber Makelaars Weesp","Weesp",4,96
"255",950,"Friendly Housing","Eindhoven",2,50
"256",1035,"BenHousing","Rotterdam",2,55
"257",935,"P&D Housing","Tilburg",2,55
"258",955,"P&D Housing","Tilburg",1,55
"259",1750,"Expats. Amsterdam Rentals ","Amsterdam",2,50
"260",1575,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",2,55
"261",825,"P&D Housing","Tilburg",3,60
"262",1250,"P&D Housing","Tilburg",3,128
"263",2550,"Agency 2030","Amsterdam",5,85
"264",885,"My Housing","Waalwijk",1,45
"265",995,"K&P Makelaars","Groningen",3,72
"266",510,"RNC Wonen","Tilburg",1,13
"267",2000,"Mac Housing","Amsterdam",3,64
"268",2000,"Mac Housing","Amsterdam",3,59
"269",3000,"AmsterHomes","Almere",5,171
"270",1850,"ViaDaan","Amsterdam",3,80
"271",587,"4-Freedom | Vastgoedbeheer","Ede",1,35
"272",654,"4-Freedom | Vastgoedbeheer","Ede",1,27
"273",1550,"4-Freedom | Vastgoedbeheer","Amsterdam",3,55
"274",1550,"4-Freedom | Vastgoedbeheer","Amsterdam",3,56
"275",970,"Wonen Limburg Accent","Venlo",3,82
"276",1395,"HouseHunting Utrecht","Utrecht",4,80
"277",1085,"Pas verhuurt","Rosmalen",3,74
"278",1300,"Agency 2030","Amsterdam",2,52
"279",2250,"Out Amsterdam","Amsterdam",4,90
"280",995,"Rental Rotterdam","Brielle",2,45
"281",1950,"De la Haye Makelaardij o.g.","Amsterdam",3,125
"282",1000,"123Wonen Den Bosch","Oss",3,72
"283",990,"BVwonen","Tilburg",2,28
"284",825,"HousingXL.nl","Heerlen",3,80
"285",2500,"The Perfect House","Amsterdam",5,140
"286",875,"Dorenbos Rasch Makelaars","Hilversum",3,60
"287",925,"123Wonen Groningen","Ezinge",2,125
"288",1250,"Makelaardij Van Wieren","Groningen",3,65
"289",1168,"Q Makelaars","Den Haag",1,59
"290",1325,"Compass Housing Amsterdam","Amsterdam",3,68
"291",675,"De Noordelijke Verhuur Makelaars","Haren Gn",2,51
"292",1175,"070Wonen","Den Haag",3,64
"293",1195,"Rotsvast Eindhoven","Eindhoven",1,70
"294",1100,"RandstadWonen Haarlem","Haarlem",2,45
"295",486,"Tweelwonen.nl Noordwijk","Lisse",1,27
"296",1195,"Tweelwonen.nl Leiden","Leiden",3,63
"297",1200,"Reedijk Real Estate","Delft",3,80
"298",1450,"De Graaf & Groot Makelaars","Amsterdam",2,56
"299",1950,"Hoen Vastgoedbeheer ","Amsterdam",4,150
"300",1595,"A&N Vastgoed","Den Haag",1,110
"301",495,"NederWoon verhuurmakelaars Deventer","Deventer",2,30
"302",500,"Regent Makelaars","Heerenveen",1,19
"303",1375,"BenHousing","Rotterdam",3,80
"304",1795,"The Real Estate Company","Den Haag",5,125
"305",1750,"Tweelwonen.nl Rotterdam","Rotterdam",3,85
"306",1100,"HouseHunting Tilburg","Tilburg",4,83
"307",625,"Huren in Twente","Enschede",1,45
"308",1950,"Expats. Amsterdam Rentals ","Amsterdam",4,130
"309",1500,"De la Haye Makelaardij o.g.","Amsterdam",2,50
"310",1350,"Lutz Real Estate","Den Haag",3,95
"311",2500,"Expats. Amsterdam Rentals ","Amsterdam",3,90
"312",1385,"Holland2Stay","Eindhoven",2,84
"313",1600,"Krieger & Witte Makelaars","Oude-Tonge",3,129
"314",1500,"De la Haye Makelaardij o.g.","Amsterdam",2,50
"315",1000,"iRooms and Houses","Rotterdam",1,25
"316",825,"NOVA Housing","Reijmerstok",3,100
"317",1750,"AmsterHomes","Amsterdam",3,62
"318",1250,"Expats. Amsterdam Rentals ","Amsterdam",1,45
"319",1400,"Nu Woonruimte","Haarlem",3,70
"320",1250,"Domica Eindhoven","Eindhoven",2,90
"321",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"322",1600,"Maasstad Woningverhuur","Rotterdam",3,122
"323",1275,"ViaDaan","Almere",3,83
"324",1195,"ViaDaan","Lelystad",2,83
"325",855," Vastgoed 010","Rotterdam",1,34
"326",1450,"Holland2Stay","Eindhoven",3,94
"327",1320,"Gruno Vastgoed B.V.","Groningen",4,80
"328",990,"Smart Wonen","Enschede",2,80
"329",325,"BM Vastgoed","Arnhem",2,11
"330",1500,"Yamsterdam Apartments","Amsterdam",3,75
"331",875,"Holland2Stay","Eindhoven",2,45
"332",1250,"NumberXII Exclusive Real Estate","Den Haag",2,50
"333",900,"BVwonen","Tilburg",2,53
"334",1750,"DdeG Vastgoed bv","Utrecht",3,40
"335",1750,"Van Huis Uit Makelaars","Amsterdam",2,45
"336",870,"Interhouse verhuurmakelaars Hilversum & Almere","Hilversum",2,45
"337",1100,"Spitman Makelaars","Arnhem",3,70
"338",1800,"Wobeco Housing Agency","Den Haag",3,120
"339",506,"De Huissleutel","Tilburg",1,19
"340",2250,"De Graaf & Groot Makelaars","Amsterdam",4,132
"341",1275,"Regio56 Makelaars & Huisvesting ","Eindhoven",3,92
"342",1495,"Stoit Groep","Eindhoven",5,104
"343",1225,"Amstel Property Agency","Amstelveen",2,55
"344",439,"Siebbeles Vastgoed","Arnhem",1,16
"345",1140,"vb&t Verhuurmakelaars","Hilversum",3,78
"346",1360,"vb&t Verhuurmakelaars","Hilversum",4,106
"347",900,"M&G Housing","Maastricht",3,30
"348",1800,"Amstel Housing Amsterdam","Amsterdam",4,94
"349",1750,"The Rental Agency Amsterdam","Amsterdam",3,55
"350",3250,"Comfortable Staff Housing","Bussum",5,150
"351",1500,"Wonen Hartje Rotterdam","Rotterdam",4,132
"352",1650,"Wonen Hartje Rotterdam","Rotterdam",2,104
"353",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"354",1350,"Hevesta Bemiddeling","Amsterdam",1,37
"355",850,"Lutz Real Estate","Den Haag",3,50
"356",1100,"Wonen Hartje Rotterdam","Rotterdam",2,51
"357",1295,"Housing Solutions Breda","Breda",3,92
"358",850,"Housing Solutions Breda","Breda",2,65
"359",1175,"ViaDaan","Weesp",2,58
"360",1350,"ViaDaan","Monnickendam",2,62
"361",1500,"NEXT Beheer","Rotterdam",4,80
"362",1650,"Linger OG","Amsterdam",3,75
"363",1025,"Altijd Wonen","Amstelveen",2,40
"364",412,"Siebbeles Vastgoed","Arnhem",2,16
"365",1500,"Van Haaren Vastgoed B.V.","Delft",3,75
"366",895,"HousingXL.nl","Maastricht",1,20
"367",1295,"Heimstaden","Amsterdam",2,32
"368",995,"Heimstaden","Purmerend",5,94
"369",1500,"Amsterdam Rental Homes","Amsterdam",3,58
"370",712,"Ben-s.nl verhuur en beheer","Groningen",1,24
"371",900,"Ben-s.nl verhuur en beheer","Groningen",2,36
"372",850,"Ben-s.nl verhuur en beheer","Groningen",2,41
"373",1450,"Amstelland Makelaars","Amsterdam",3,65
"374",1500,"Amstelland Makelaars","Amsterdam",2,50
"375",1550,"Rotsvast Eindhoven","Eindhoven",4,105
"376",1550,"Amsterdam Rental Homes","Amsterdam",3,65
"377",1395,"Stoit Groep","Eindhoven",4,107
"378",910,"Housedby","Goes",2,67
"379",1150,"Relocation Advisers B.V.","Amsterdam",1,25
"380",1895,"Tweelwonen.nl Rotterdam","Rotterdam",4,136
"381",1700,"Valerius Rentals","Amsterdam",3,41
"382",2750,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",5,200
"383",1750,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",3,93
"384",1495,"DutchRelocate","Haarlem",3,85
"385",1395,"Q Makelaars","Den Haag",2,72
"386",1295,"VHPN","Rotterdam",3,80
"387",1045,"Homeland Real Estate","Den Haag",2,90
"388",1250,"Brick Vastgoed","Eindhoven",3,75
"389",1000,"PSG-Wonen","Den Haag",1,32
"390",1025,"Loftly","Rotterdam",2,38
"391",2000,"Mac Housing","Amsterdam",3,105
"392",2000,"Mac Housing","Amsterdam",2,95
"393",1200,"Mac Housing","Badhoevedorp",1,25
"394",845,"Huizenbalie.nl","Leiden",1,44
"395",1500,"Huizenbalie.nl","Rotterdam",5,102
"396",1550,"Housing Agency","Amsterdam",2,55
"397",1045,"RE/MAX Makelaarsgilde Leiden","Leiden",2,50
"398",920,"Vastgoedhart","Rotterdam",2,65
"399",925,"Urban Short Stay","Delft",2,42
"400",995,"RTZN Makelaardij","Maastricht",2,66
"401",490,"RTZN Makelaardij","Maastricht",1,15
"402",2325,"LIV Residential","Amsterdam",4,84
"403",740,"Reham Makelaars | Taxateurs","Terneuzen",2,48
"404",895,"Brick Brokers","Hilversum",2,45
"405",995,"Urban Short Stay","Rotterdam",2,58
"406",1030,"Van Santvoort Makelaars Eindhoven","Best",4,97
"407",1395,"Van Huis Uit Makelaars","Amsterdam",3,62
"408",1600,"Grand Relocation","Amsterdam",3,72
"409",2075,"Grand Relocation","Amsterdam",3,91
"410",1195,"Census Real Estate","Eindhoven",3,180
"411",1045,"realestate.nl ","Rotterdam",2,59
"412",2000,"Dutch Housing Centre BV","Amsterdam",3,61
"413",1375,"Lighthouse Property Services","Haarlem",2,62
"414",2525,"Vlaanderen Makelaardij BV","Muiderberg",7,148
"415",1495,"Amstel Housing Utrecht","Utrecht",3,75
"416",1900,"Mooi Makelaardij","Amstelveen",3,104
"417",1600,"Maasstad Woningverhuur","Rotterdam",3,122
"418",1295,"VHPN","Rotterdam",3,80
"419",1265,"Keij Beheer V.O.F","Leiden",3,91
"420",1099,"Woonstad Rotterdam","Rotterdam",5,117
"421",1400,"020Apartment","Amsterdam",2,80
"422",525,"Immovita","Den Haag",1,35
"423",670,"Immovita","Den Haag",2,40
"424",1250,"Clairesrealestate","Amsterdam",1,30
"425",1250,"Clairesrealestate","Amsterdam",2,36
"426",1250,"Langezaal makelaars","Den Haag",3,71
"427",395,"LW23","Haarlem",1,9
"428",950,"RandstadHousing","Rotterdam",3,60
"429",540,"Woonhuis Limburg","Noorbeek",2,40
"430",635,"Inleidenhuren B.V.","Leiden",2,19
"431",1100,"Maxx Groningen","Groningen",2,70
"432",700,"Van Der Huizen","Utrecht",1,31
"433",1075,"Lightcity Housing","Eindhoven",2,55
"434",1550,"De Nieuwe Verhuurmakelaar","Amstelveen",3,75
"435",1050,"Immosa Makelaardij","Maastricht",5,95
"436",1100,"VGW Housing","Nieuwegein",5,100
"437",1175,"Prohousing","Maastricht",4,90
"438",1095,"Prohousing","Maastricht",2,70
"439",1500,"AHA (Another Home Abroad)","Amsterdam",3,64
"440",1575,"JLG Real Estate","Amsterdam",3,62
"441",1550,"JLG Real Estate","Amsterdam",2,55
"442",1100,"Linger OG","Amsterdam",1,28
"443",1400,"Linger OG","Amsterdam",3,92
"444",1550,"Van Maarschalkerwaart Makelaars","Amsterdam",3,60
"445",1600,"Visch & Van Zeggelaar Amsterdam","Amsterdam",2,47
"446",1600,"Visch & Van Zeggelaar Amsterdam","Amsterdam",2,63
"447",1100,"Stad en Land Makelaars","Rotterdam",1,86
"448",1050,"Björnd Makelaardij","Delft",2,60
"449",1550,"Mac Housing","Amsterdam",3,78
"450",1475,"Hoogveste BV","Amstelveen",1,40
"451",1500,"Amstel Makelaardij o.g.","Amstelveen",3,80
"452",1400,"Mar. J. Heule","Amsterdam",3,58
"453",1850,"Hofzicht Makelaars","Lisse",4,175
"454",1550,"SPiL makelaars","Amsterdam",4,87
"455",950,"CMT Real Estate","Den Haag",2,50
"456",1295,"Interhouse verhuurmakelaars Den Haag","Rijswijk",5,105
"457",850,"070Wonen","Den Haag",3,46
"458",2000,"Great Expatation","Amsterdam",3,90
"459",1175,"Bob Witteveen Makelaardij","Nijmegen",2,73
"460",1550,"Raysemhousing.nl","Halfweg",3,85
"461",595,"Acuut Huren Breda","Teteringen",1,24
"462",2350,"Relocation-Amsterdam","Amsterdam",3,75
"463",1650,"Relocation-Amsterdam","Amsterdam",3,65
"464",560,"LVDS Vastgoed","Venlo",2,34
"465",1500,"Imperio Vastgoed","Zaandam",2,63
"466",795,"Your-House","Utrecht",2,32
"467",710,"LVDS Vastgoed","Venlo",2,51
"468",1450,"Rotterdam Apartments","Rotterdam",3,76
"469",1485,"Rotterdam Apartments","Rotterdam",3,85
"470",800,"EasyLease","Boxtel",2,54
"471",1130,"Perfectrent","Rotterdam",4,70
"472",1300,"ViaDaan","Amsterdam",2,57
"473",850,"ViaDaan","Tilburg",2,42
"474",1700,"House of Rentals","Amsterdam",3,68
"475",1550,"House of Rentals","Amsterdam",1,55
"476",705,"J.T.M.D. vastgoed beheer B.V.","Santpoort-Noord",1,18
"477",1250,"Rent2You","Rotterdam",2,70
"478",1350,"ViaDaan","Amsterdam",4,67
"479",1300,"ViaDaan","Amsterdam",2,40
"480",1100,"DG Vesta","Eindhoven",2,47
"481",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"482",1350,"Hevesta Bemiddeling","Amsterdam",1,37
"483",1150,"Expats. Amsterdam Rentals ","Amsterdam",1,35
"484",485,"GOETH Vastgoed","Eindhoven",1,18
"485",1295,"Interhouse verhuurmakelaars Amersfoort","Amersfoort",2,82
"486",1750,"Amsterdam Beautiful Property Rental","Amsterdam",2,97
"487",2650,"VERRA Real Estate","Den Haag",5,137
"488",648,"Stadhuis Breda","Breda",1,22
"489",925,"070Wonen","Rijswijk",1,40
"490",1100,"Expatdesk Nijmegen","Nijmegen",2,40
"491",1275,"Expatdesk Nijmegen","Nijmegen",3,67
"492",1650,"Grand Relocation","Amsterdam",2,55
"493",2250,"Wooove B.V.","Amsterdam",5,147
"494",300,"Domica Leiden","Leiden",1,8
"495",1325,"Wooove B.V.","Den Haag",3,88
"496",1630,"Wooove B.V.","Amsterdam",4,140
"497",1460,"Wooove B.V.","Amsterdam",3,98
"498",1045,"Wooove B.V.","Den Haag",3,60
"499",1295,"Inter Immo Almere","Almere",4,87
